Stop_ID,Stop_name,Stop_lat,Stop_long,Pax_annual
19958,Prahran,-37.84951848,144.9898599,571600
19959,South Yarra,-37.83844935,144.9923422,1997050
19960,Upfield,-37.66607779,144.9467399,185850
19961,Gowrie,-37.700678,144.9588743,153350
19962,Fawkner,-37.71462129,144.960545,86400
19963,Merlynston,-37.72093389,144.9613135,154400
19964,Batman,-37.73352285,144.9628406,142200
19965,Coburg,-37.74234502,144.9633363,272750
19966,Moreland,-37.75448484,144.961823,266400
19967,Anstey,-37.76124203,144.960684,187400
19968,Brunswick,-37.76772055,144.9595865,167400
19969,Jewell,-37.77498702,144.9587169,178100
19970,Royal Park,-37.78119293,144.9523013,156050
19971,Flemington Bridge,-37.78813995,144.9393233,123200
19972,Macaulay,-37.79426673,144.9361663,126350
19974,Clifton Hill,-37.78865745,144.9954167,454200
19975,Victoria Park,-37.79915782,144.9944514,317800
19976,Collingwood,-37.80452593,144.9937497,248400
19977,North Richmond,-37.81039836,144.9925003,351250
19978,West Richmond,-37.81494896,144.9914228,271450
19983,Macleod,-37.7260123,145.0691433,239150
19984,Watsonia,-37.71095798,145.0837934,303800
19985,Greensborough,-37.70395408,145.1082474,266050
19986,Montmorency,-37.71529624,145.1215157,117950
19987,Eltham,-37.71354967,145.147822,250100
19988,Diamond Creek,-37.67329744,145.1585062,83600
19989,Wattle Glen,-37.66396792,145.1816145,17550
19990,Hurstbridge,-37.63939817,145.1920169,57050
19991,Williamstown,-37.86775292,144.9053233,60150
19992,Williamstown Beach,-37.86398189,144.8944837,69250
19993,North Williamstown,-37.85733348,144.8890695,98800
19994,Newport,-37.84271757,144.8835999,721500
19995,Spotswood,-37.83063888,144.8859335,170900
19996,Yarraville,-37.81585044,144.8899337,442450
19997,Seddon,-37.80900514,144.8956716,203150
15351,Sunbury,-37.57909097,144.7273188,362700
15353,Diggers Rest,-37.62701651,144.7199224,65200
20000,Watergardens,-37.70112872,144.7741805,587400
20001,Keilor Plains,-37.72927934,144.7937381,277900
20002,St Albans,-37.74486131,144.8000505,610250
20003,Ginifer,-37.75751083,144.8095734,345200
20004,Albion,-37.77765281,144.8247036,203100
20005,Epping,-37.65238715,145.0301217,434500
20006,Lalor,-37.66585075,145.0171932,241700
20007,Thomastown,-37.68033809,145.0142789,391050
20008,Keon Park,-37.69487012,145.0118838,174750
20009,Ruthven,-37.70789754,145.0095166,157350
20010,Reservoir,-37.71688492,145.0069958,473200
20011,Regent,-37.72840277,145.0027726,176100
20012,Preston,-37.73867424,145.000522,238850
20013,Bell,-37.74556212,145.000155,132450
20014,Thornbury,-37.75505179,144.9985715,205700
20015,Croxton,-37.764101,144.9970562,121300
20016,Northcote,-37.76986537,144.9952772,150400
20017,Merri,-37.77784668,144.9929725,72550
20019,Rushall,-37.78321711,144.9924071,69100
20021,Sunshine,-37.78853633,144.8328782,1235800
20022,Tottenham,-37.7992509,144.8629449,232450
20023,West Footscray,-37.8018087,144.8853248,283750
20024,Middle Footscray,-37.8025047,144.8914721,103450
20025,Footscray,-37.80108298,144.9031992,2783000
20026,South Kensington,-37.79953087,144.925469,159950
20027,Flemington Racecourse,-37.78720192,144.9075887,36550
20030,Broadmeadows,-37.68304926,144.9196132,447650
20031,Jacana,-37.69513079,144.9158505,133250
20032,Glenroy,-37.70453633,144.9172204,317000
20033,Oak Park,-37.71794973,144.9215188,237100
